Frontal Pole,Insular Cortex,Superior Frontal Gyrus,Middle Frontal Gyrus,"Inferior Frontal Gyrus, pars triangularis","Inferior Frontal Gyrus, pars opercularis",Precentral Gyrus,Temporal Pole,"Superior Temporal Gyrus, anterior division","Superior Temporal Gyrus, posterior division","Middle Temporal Gyrus, anterior division","Middle Temporal Gyrus, posterior division","Middle Temporal Gyrus, temporooccipital part","Inferior Temporal Gyrus, anterior division","Inferior Temporal Gyrus, posterior division","Inferior Temporal Gyrus, temporooccipital part",Postcentral Gyrus,Superior Parietal Lobule,"Supramarginal Gyrus, anterior division","Supramarginal Gyrus, posterior division",Angular Gyrus,"Lateral Occipital Cortex, superior division","Lateral Occipital Cortex, inferior division",Intracalcarine Cortex,Frontal Medial Cortex,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Subcallosal Cortex,Paracingulate Gyrus,"Cingulate Gyrus, anterior division","Cingulate Gyrus, posterior division",Precuneous Cortex,Cuneal Cortex,Frontal Orbital Cortex,"Parahippocampal Gyrus, anterior division","Parahippocampal Gyrus, posterior division",Lingual Gyrus,"Temporal Fusiform Cortex, anterior division","Temporal Fusiform Cortex, posterior division",Temporal Occipital Fusiform Cortex,Occipital Fusiform Gyrus,Frontal Opercular Cortex,Central Opercular Cortex,Parietal Opercular Cortex,Planum Polare,Heschl's Gyrus (includes H1 and H2),Planum Temporale,Supracalcarine Cortex,Occipital Pole,Left Cerebral White Matter,Left Cerebral Cortex,Left Lateral Ventricle,Left Thalamus,Left Caudate,Left Putamen,Left Pallidum,Brain-Stem,Left Hippocampus,Left Amygdala,Left Accumbens,Right Cerebral White Matter,Right Cerebral Cortex,Right Lateral Ventricle,Right Thalamus,Right Caudate,Right Putamen,Right Pallidum,Right Hippocampus,Right Amygdala,Right Accumbens
0.07034128009588436,-0.020180261431811758,-0.0014101696065244235,0.07064167565957785,0.08692508008332027,0.03956915599846887,0.16150161105533906,-0.19451244099497064,-0.09978376067611301,-0.1338168938300282,-0.1850514875845624,-0.0812123088563891,-0.018403653322599987,0.08279973451342557,-0.013347090283123234,0.07850927170133211,0.16134263688693232,0.08332054922817517,0.15279456484332066,0.04364395167891045,-0.004532726318909504,0.062080849637928245,0.12493242420212919,-0.11397142535844446,-0.139673085308834,0.002278761834432305,-0.06147193509238392,-0.11346209051187575,0.09776850631874186,0.26398514941095613,-0.03196152701373108,-0.07296160759016057,0.041556444791538374,-0.12076076879814789,0.14380955015923397,-0.021175919591262082,-0.0727313102735119,0.048995604603148064,0.047434890240263164,0.028662006213468844,0.013780269029052328,0.023024778623477193,0.07465845623193669,-0.09376299716705352,0.06802472992159951,-0.03036321179114498,-0.09099702692607398,0.05031340686263043,0.19376317696791753,0.0258410775423029,0.026004706036398845,-0.055453547546563474,0.2347941142887908,0.15921986187081671,0.16034340307291986,0.14007871743172395,0.0753253011280609,0.0003443330494437075,0.1194183920763102,-0.028211862482390396,0.06507820007438617,-0.14416203507555664,-0.14321901479004856,0.016078797596508997,0.09168413069690354,-0.20567037552250808,-0.14493987297030803,-0.11426612256187971,0.08767220116240168
0.06738523268809891,0.3085900362669156,0.056082430424523315,-0.14754110160750783,0.06285731017981752,-0.1673322134737904,0.7070087458651813,0.16345234505497436,-0.038463258382462416,0.13923450644256358,-0.025861149613982944,-0.21872979082644783,-0.0743540767905067,0.36874084781347327,0.45879419141963496,0.043170554920018846,0.8245338555850467,0.3893974122947164,0.42867929865366583,0.029382440218105568,-0.09122858133237782,0.16173308235279282,0.4600694187251975,0.39059303850754773,0.2231152290881625,0.3804836484233119,0.2683315626939328,0.16035144701451487,0.5667905038213384,0.5164776030095636,0.29032708028097626,0.08523598802359338,0.10309332544846084,-0.09498755411940636,-0.050454321360371736,0.6337141078180918,0.09061911725295961,-0.012249292556165959,0.12004473338715992,0.3311438966593587,0.18471679090420198,0.20786461853602617,0.5164315674299542,0.07436902069645997,0.3577440220794227,0.23953038594614273,0.23716941820647658,0.4617848453653901,0.617123604804981,0.3787483601417222,-0.14432584417244246,-0.6638600760951466,-0.06102945485090234,-0.40238081317177615,-0.30606036857447527,-0.0918329831520045,0.5950725911340992,0.24281357893032907,0.25506019602818675,0.5467364620989221,0.5223380878556995,0.11518147117676283,-0.5555499368560928,-0.41763677419715545,0.27763298190888475,0.09474720057635723,0.26577586155150756,0.13776070830091358,-0.4354061951861307
0.029456112030179744,0.5664333147860937,0.13018208867316558,-0.3501364066529736,0.04518155089040037,-0.36243913772129305,1.1593573016772856,0.4835772576690733,0.018488165174037514,0.38313114177065494,0.1299558780389124,-0.32194563667965903,-0.11315596578568511,0.5882426695152424,0.8676038341469019,-0.011733295507348397,1.3642200806297242,0.6449517165283228,0.6415623550171029,-0.0028626357097043266,-0.15862938837283638,0.2618738320929117,0.739669262847844,0.8224756896740939,0.5630325106053681,0.7130857591640234,0.5646685802550729,0.36427125225372003,0.9383944878690942,0.7222360140557268,0.590457980173407,0.24033695491537446,0.12586764935996636,-0.07676962655989816,-0.21066453481699213,1.1950396674819488,0.1920953844894638,-0.06172717251377944,0.1747306648119769,0.5897287762510592,0.299206652730969,0.3599540061457624,0.8877573852715341,0.20152094310115434,0.5698404550206196,0.46448387042260125,0.5175684516097242,0.8163333176758845,0.9785720457090262,0.6758032626735666,-0.30102960488712294,-1.1755269988068044,-0.31173962801248256,-0.8738005751233654,-0.6852992338601575,-0.31204612846030166,1.0683511828607226,0.5062367088913442,0.38329320133741757,1.0319392335324826,0.8977257936291844,0.3588963664208845,-0.9071199645313551,-0.7892012123519059,0.4259160451435555,0.3583721345920535,0.6361867235255302,0.3826294809654171,-0.9277225389909347
-0.06955137313823156,0.7024618372145649,0.2317250918077979,-0.5263220128927133,0.04225147914031909,-0.532600183169953,1.4471673757915358,0.7356534468290127,0.06551229402445172,0.5716093461568945,0.278454834121633,-0.3656284688666695,-0.12321431135609101,0.6928773637373414,1.1587694848516379,-0.10245525345831905,1.6853358389265851,0.8061346870128232,0.7437344590732311,-0.06794054278344841,-0.19412025324558807,0.3573535758242568,0.9166054333690644,1.1250705341052336,0.8576634342636423,0.966268767191947,0.8005473477448097,0.44661056000801047,1.140596177829192,0.8461656534219388,0.8460416705248219,0.38769706935405296,0.08438809989115369,-0.06912209599394697,-0.31233896706840203,1.586613356252528,0.18929576670088247,-0.09057822800560028,0.19402536758082597,0.7668607614179515,0.3175978356791824,0.4560478862428079,1.1346142777887531,0.2586064555482035,0.6491452004570828,0.608678106090547,0.7127034058277453,1.0660721515910512,1.2277913108307035,0.8722746251033646,-0.4281803372802932,-1.511495408992614,-0.4769636499627541,-1.1821632827279833,-0.9095846713849428,-0.5079634434071719,1.4571632335346971,0.8042810938978857,0.4990237524447111,1.3550813370955572,1.1261410740810582,0.5731454834684203,-1.1486711139682027,-1.044323583995509,0.5056156923958175,0.5509042826256634,0.9347374575208653,0.6129682210012091,-1.3569961724454356
-0.24446635264557062,0.6943656420409056,0.35920785700141333,-0.6756045812520209,0.05916382914078229,-0.663242387736451,1.533165873600694,0.9036900679527944,0.09639153530125907,0.6870589114954918,0.41560698881378844,-0.34052442580102826,-0.10110724618051788,0.6635203739298678,1.296126986886641,-0.2411092180746709,1.7389523617766658,0.8433630289580032,0.7129653363827269,-0.17408979837980038,-0.19648009816038908,0.434361938121836,0.9593721331814262,1.2658095180506312,1.0855222074523376,1.123743848751329,0.9598037773404872,0.38351492403289394,1.1405416965547084,0.8652198163016662,1.0329278753671227,0.5178799779234006,-0.027996012072662578,-0.06860091238009407,-0.3502404830039008,1.7610700013947256,0.07154476510287291,-0.0951966191474511,0.16351300942033528,0.8361426155543216,0.22663611084030547,0.48564190496548676,1.2287103685582257,0.2336142448139887,0.5713927636969677,0.6511280336547984,0.7994792167866681,1.177401126566552,1.330379750685877,0.9403398747146606,-0.5115668266818394,-1.6284486928832163,-0.5310088607893172,-1.2867402679104543,-0.9461563693217692,-0.6704534241023806,1.7332529542510862,1.1351299760340376,0.5985767126620233,1.473434383517214,1.1682703483824644,0.7453253524027319,-1.2516511834167103,-1.1442161244060485,0.49945571681457807,0.6439215028534816,1.1399618780530807,0.8201063205458046,-1.6889296826688025
-0.4962181947881734,0.5527956956987947,0.4965842715213745,-0.8091907994268068,0.0965801520531113,-0.7402929869423279,1.4196469543476666,0.9885114679305612,0.10516092626648434,0.7217213232062315,0.5375996701170926,-0.2553369623500631,-0.05345456645764467,0.5151286141784669,1.2675996877822384,-0.433267973961566,1.5303506928014174,0.7451784140468694,0.5560108986129142,-0.3223700438758284,-0.17779909917379036,0.47014688718768755,0.8567044978903345,1.24089710162425,1.2278593480892717,1.1886836044490796,1.038644267312914,0.1835852709024954,0.9508447890256144,0.7721555797763577,1.1271388401180018,0.6171718442833606,-0.19677445988954828,-0.06481424492467956,-0.3400597743161398,1.7063395192133815,-0.13725303529652472,-0.07673446764390794,0.07378239108484605,0.7855367176754117,0.042599340010999125,0.4530557129090666,1.1718378817272381,0.1336367609679693,0.34824239856030814,0.5882852263650341,0.7726542161994707,1.1356914135585738,1.2721230886538364,0.8726397562600772,-0.5408652896573425,-1.5254016796035776,-0.46716661734604026,-1.1855974891120766,-0.802414409968513,-0.792485078888226,1.8819714555350997,1.480603143175458,0.679310508479502,1.3803053025050114,1.0162125945223903,0.866270188923745,-1.2115450993335908,-1.0716348936040865,0.4072877028653767,0.6187346059435667,1.2432737054840755,0.9948996368451766,-1.89176167316718
-0.8118179176373403,0.31731685005688653,0.6152550082522018,-0.9476068362861249,0.1504876410114775,-0.7534737659060533,1.1442647513395152,1.0062868378513874,0.08789610881436334,0.67664977860724,0.6413650714433885,-0.13354283494988167,0.003619800380252259,0.29263871516189677,1.0874630739491995,-0.675462242698479,1.1142048174192838,0.5191810796667163,0.3047038184952618,-0.5078490373197609,-0.16168515162979355,0.43654645658707997,0.6189320207799501,1.0738281151956222,1.271352093579892,1.1802231501840919,1.044178954070591,-0.11536026449180455,0.6246095587629746,0.5771544165752334,1.1091060411030254,0.6704943817456527,-0.38985571654099493,-0.04222113897782411,-0.3132827570770764,1.4452335036838762,-0.3862930446528619,-0.03844493460654867,-0.077393380895369,0.618488714989662,-0.193818043198359,0.3758909142869335,0.9930665779970025,-0.01834897905015102,0.023417524125877536,0.43293410109805963,0.6449597322110125,0.9473005091256615,1.0600113789749686,0.6818516058330925,-0.5124239596603014,-1.2405263120383885,-0.2987483255473533,-0.913556747361053,-0.5206454081964051,-0.8661700383448089,1.9046096646722002,1.810709217121405,0.7389163325798247,1.1039879089743492,0.692843318716913,0.9328681447478242,-1.0456398811014962,-0.8345532274356812,0.24610394861384996,0.470179842051183,1.2497873332195077,1.1293994978529387,-1.9443856358904172
-1.1667477138067954,0.04516002920430725,0.6802874377259666,-1.1147464035063825,0.2129237066849336,-0.6995163789792058,0.7680869863612615,0.9834456370298162,0.04488787169485301,0.559568496624588,0.7250950070965541,-0.006106318194462341,0.04776720296797466,0.05904180892916704,0.7942599451463129,-0.9530944686690294,0.5789507538474575,0.19040018096568925,0.0065581577237968525,-0.721324588022285,-0.17780951072176593,0.3069869859090097,0.2759035372522738,0.8084274397469846,1.21100160933609,1.125934664983219,0.9907900849465788,-0.4561515544751134,0.2409020530763358,0.3068468103486362,0.9692840688436971,0.6657729614185793,-0.566025339182026,0.016127230305706192,-0.30674827117323716,1.0289454670745208,-0.6134195043286655,0.017974543599850422,-0.28287583162549973,0.3531380489566661,-0.42891875239120614,0.28037521058349707,0.7400475734115609,-0.19072071285542888,-0.3388704064986031,0.21039612255647008,0.443929074878873,0.638392703066591,0.7201525431583632,0.39698318986716763,-0.4319116976457323,-0.8397450027141387,-0.05667866717765399,-0.5322367816997774,-0.1647154031199575,-0.8801990083297405,1.8182137542232835,2.0917642656753106,0.7750441331073865,0.6999613370199235,0.24568653580712754,0.9495727469983275,-0.7867869847121565,-0.466444868809746,0.04661205719546188,0.2091077653423424,1.17685526890934,1.2185308379502517,-1.8452805787994244
-1.5290564964358817,-0.20408079991659483,0.6595895861265346,-1.3296058158161561,0.27340233517167895,-0.5837726667074751,0.35969817200192006,0.9493071155977264,-0.017554656565490462,0.38296580155022697,0.7884652972978375,0.09766911940482914,0.056002263462316404,-0.12118488494412126,0.44431797997856587,-1.2395376862550624,0.024953691057436226,-0.20225593518973695,-0.2868977315772366,-0.9503923071457797,-0.25386304587598074,0.06542527553792754,-0.12809538595695152,0.4983615842866423,1.0522966211719484,1.0527400887760585,0.8956899295744972,-0.7759866730927685,-0.11527169635283604,0.0005746641670190182,0.7133986067977125,0.5982018962397079,-0.6859969903668047,0.12378903021743143,-0.3500483507811101,0.5263936501427185,-0.7635955257579043,0.0953808836534828,-0.5245663425452972,0.019980994937791468,-0.6101552163175872,0.1948002326869671,0.4670287295691671,-0.35201170224983297,-0.6701755532497399,-0.04649929734249375,0.20613704769885452,0.25061069594388913,0.2932009339031555,0.05764417301646336,-0.31562525041554534,-0.4006667662651367,0.21584189643239418,-0.11495958232174419,0.19665403136009035,-0.819824587705552,1.652343359583686,2.2950554878333813,0.7856710689851121,0.23848954442852485,-0.2628599740265361,0.9276029079146927,-0.4755942343467041,-0.022490231933876937,-0.15294953096681532,-0.13758946242794662,1.0504537465007875,1.2609168921663536,-1.6184884174128855
-1.8641668179687316,-0.3836364711861306,0.5336028966207916,-1.597880238093181,0.3205719582194279,-0.41940713212218,-0.02033087777778342,0.9282945144605478,-0.08644411172079183,0.16323372318646737,0.8324396179573184,0.15848676245934473,0.011303820508504259,-0.19887864423903776,0.10169630533475163,-1.4972640485760593,-0.45788480335216386,-0.610899342304863,-0.5308468063278436,-1.1794297119585655,-0.40689655561001353,-0.285229490931193,-0.5414884904848701,0.1956856291016928,0.8117789473602872,0.9789236156676403,0.7749951941384061,-1.0205417040483802,-0.37334976420915283,-0.29581240240531104,0.3652980686988407,0.4728219256239842,-0.7231412828883943,0.28629039671865,-0.45462518050999784,0.011781839952350454,-0.8047402628417554,0.20200527010714517,-0.7732778670119468,-0.34164664283596896,-0.6990963330389814,0.14259063450764178,0.22265602808856425,-0.4784491094252758,-0.9146399435288024,-0.3024445155966385,-0.02994208145928121,-0.1656533782104333,-0.17183663585012635,-0.29240446269974774,-0.1893081288388829,0.003826624757698828,0.4705081714006867,0.2694443837826052,0.5049470872690301,-0.6705389980521352,1.4431122294618766,2.4031321330597932,0.7700930547489863,-0.20946844711773588,-0.7666658308287867,0.8816879990992949,-0.15332216860026407,0.4282938569169016,-0.3145452288607929,-0.5299482172561207,0.9001000927394673,1.2584590231413941,-1.313430771724378
